Timestamp,Air_Temp,Relative_Humidity,Solar_Radiation,RTD,Array_Voltage,Array_Current,Power_Generated
00:00.0,15.877128,103.72236,0.767746,24.73027761,51.815696,5.398367,279.72012
05:00.0,15.833348,103.85108,0.010178,24.7410795,51.675072,5.397827,278.93308
10:00.0,15.894352,104.16976,0.308205,24.76876404,26.8022,5.399581,144.72064
15:00.0,15.691526,103.43656,0.055092,24.76959543,17.027938,5.399581,91.943728
20:00.0,15.744528,102.84418,0.196251,24.83159235,12.163162,5.3994,65.673784
25:00.0,15.800232,102.83972,0.449364,24.84828953,10.223222,5.398949,55.194644
30:00.0,15.804192,102.83816,0.449364,24.82310747,8.74501,5.398949,47.213864
35:00.0,15.747168,102.8307,0.550255,24.72781126,7.21724,5.398857,38.964844
40:00.0,15.8053,102.79324,0.096466,24.61130013,5.988386,5.400261,32.338848
45:00.0,15.727088,102.9989,0.096466,24.4258889,5.231612,5.400261,28.252066
50:00.0,15.668744,102.84734,0.207977,24.24209558,4.703993,5.400084,25.401956
55:00.0,15.671384,103.55804,0.307098,24.13494997,4.242476,5.399904,22.90896
00:00.0,15.61304,103.71674,0.45932,24.0632675,3.976118,5.39999,21.470996
05:00.0,15.554648,103.8574,0.661102,24.02082929,3.768995,5.399718,20.351512
10:00.0,15.548848,104.16822,0.288071,24.01605015,3.661348,5.401032,19.775056
15:00.0,15.542166,104.32804,0.23851,24.01301321,3.646944,5.400763,19.696282
20:00.0,15.497106,104.7776,0.016373,24.04374158,3.655184,5.401032,19.741762
25:00.0,15.493114,104.31764,0.115494,24.17160825,3.673678,5.400763,19.840662
30:00.0,15.564754,104.00816,0.165054,24.35859333,3.678805,5.400763,19.86835
35:00.0,15.603294,104.00972,0.317276,24.45870105,3.609011,5.40022,19.489452
40:00.0,15.665582,103.94986,0.419937,24.57842369,3.420962,5.400403,18.47457
45:00.0,15.684194,103.48434,0.368607,24.60705064,3.336702,5.400312,18.019232
50:00.0,15.718678,103.2775,0.368607,24.64141018,3.328463,5.400403,17.97504
55:00.0,15.751828,103.12754,0.368607,24.63111989,3.370577,5.40004,18.201248
00:00.0,15.754468,103.13058,0.317276,24.65403035,3.380861,5.400403,18.258012
05:00.0,15.757126,103.42442,0.267715,24.67731921,3.328463,5.400491,17.975332
10:00.0,15.7346,103.71198,0.419937,24.60067677,3.212221,5.40004,17.34612
15:00.0,15.710742,103.66256,0.317276,24.5370678,3.162813,5.400312,17.080176
20:00.0,15.70406,102.979,0.570389,24.53339717,3.143282,5.40004,16.973846
25:00.0,15.753116,102.59014,0.570389,24.55734969,3.132967,5.400131,16.918432
30:00.0,15.800884,102.25934,0.570389,24.59347855,3.16794,5.39986,17.106434
35:00.0,15.808854,102.39172,0.368607,24.60901232,3.219393,5.399952,17.384566
40:00.0,15.802204,102.1044,0.519058,24.664329,3.200899,5.400131,17.285274
45:00.0,15.827368,102.54352,0.368607,24.69195546,3.095949,5.39986,16.717692
50:00.0,15.765094,102.54058,0.469498,24.61101493,2.987795,5.39986,16.133676
55:00.0,15.73061,102.53604,0.469498,24.5283075,3.00223,5.39986,16.21162
00:00.0,15.747314,102.3587,0.121689,24.54062685,3.092442,5.401374,16.703432
05:00.0,15.718158,102.26994,0.22435,24.51362335,3.167606,5.401285,17.109144
10:00.0,15.718158,101.80934,0.173019,24.55352378,3.177891,5.401193,17.164402
15:00.0,15.69425,101.66012,0.173019,24.52123505,3.163456,5.401014,17.085868
